Membership No  Date Joined  Active  
    94239      2020-8-4     no    
    22407      2015-5-6     no    
    16107      2017-5-16    no    
    23579      2015-1-3     no    
    24098      2015-7-22    no    
    21098      2018-2-8     no    
    78600      2018-3-2     no    
    37176      2019-12-2    no    
    16741      2019-11-3    no    
    10971      2016-1-19    no    
    76543      2016-6-17    no    
    94604      2015-6-12    no    
    65283      2019-11-11   no    
    59799      2017-12-10   no    
    49308      2020-4-19    no    
